Station,Station ID,Part of total tv,Start Date,End Date,No broadcast,Programs logs,Spots logs
Eurosport Denmark,121,Yes,5/15/2012,N/A,,Yes,Yes
DR1 Analog,230,Yes,See note,,,,
DR1 DTT,231,Yes,See note,,,,
DR1 SAT,232,Yes,See note,,,,
DR2 Analog,234,Yes,See note,,,,
DR2 DTT,235,Yes,See note,,,,
DR2 SAT,236,Yes,See note,,,,
DR UPDATE DTT,238,Yes,See note,,,,
DR UPDATE SAT,239,Yes,See note,,,,
TEST1,250,Yes,4/2/2008,,,,
TEST2,251,Yes,4/2/2008,,,,
TEST3,252,Yes,4/2/2008,,,,
TEST4,253,Yes,4/2/2008,,,,
TEST5,254,Yes,4/2/2008,,,,
Unmatched,300,No,4/16/2007,N/A,,,
Video,500,No,1/1/1992,N/A,,,
DR  TXT,901,No,5/18/1992,N/A,,,
TV 2 TXT,902,No,5/18/1992,N/A,,,
TV3 TXT,903,No,7/31/1994,N/A,,,
TVD2 TXT ??,904,No,N/A ??,N/A ??,,,
DR2 TXT,905,No,9/20/1996,N/A,,,
Kanal Hovedstaden TXT,906,No,1/11/2012,N/A,,,
TVD1 TXT,911,No,N/A ??,N/A ??,,,
TV3 PULS TXT,912,No,3/24/2009,N/A,,,
TV 2 Zulu TXT,951,No,11/10/2000,N/A,,,
TV 2 Charlie TXT,952,No,10/19/2004,N/A,,,
TV 2 Film TXT,953,No,11/2/2005,N/A,,,
TV 2 News TXT,954,No,12/1/2006,N/A,,,
6'eren TXT,955,No,1/1/2007,N/A,,,
VH-1 TXT,956,No,4/1/2008,,,,
Nickelodeon TXT,957,No,4/3/2008,,,,
TV 2 Sport TXT,987,No,4/11/2007,N/A,,,
DR Ramasjang TXT,994,No,6/7/2011,,,,
DR K TXT,995,No,6/7/2011,,,,
DR HD TXT,996,No,6/7/2011,,,,
DR Update TXT,997,No,6/7/2011,,,,
Other TXT,999,No,5/18/1992,N/A,,,
