Field (n of 13),Code,Description (DK),Description (ENG)
productionCountry,2300,Østlige-Europa,Eastern Europe
productionCountry,2310,De  Baltiske Lande,The Baltic countries
productionCountry,2311,Estland,Estonia
productionCountry,2312,Letland,Latvia
productionCountry,2313,Litauen,Lithuania
productionCountry,2320,Øst-Europa og Rusland,Eastern Europe and Russia
productionCountry,2321,Rusland,Russia
productionCountry,2322,Polen,Poland
productionCountry,2323,Ungarn,Hungary
productionCountry,2324,Tjekkiet,The Czech Republic
productionCountry,2325,Slovakiet,Slovakia
productionCountry,2326,Rumænien,Rumania
productionCountry,2327,Hviderusland,White Russia
productionCountry,2328,Ukraine,Ukraine
productionCountry,2329,Moldava,Moldavia
productionCountry,2330,Balkan,Balkans
productionCountry,2331,Kroatien,Croatia
productionCountry,2332,Slovenien,Slovenia
productionCountry,2333,Bosnien-Herzegovina,Bosnia-Herzegovina
productionCountry,2334,Makedonien,Macedonia
productionCountry,2335,Rest Jugoslavien (Serbien og Mon-,Rump-Yugoslavia (Serbia and Montenegro)
productionCountry,2336,Albanien,Albania
productionCountry,2337,Bulgarien,Bulgaria
productionCountry,3000,Amerika,America
productionCountry,3100,USA,USA
productionCountry,3200,Nordamerika uden USA,North America except the USA
productionCountry,3210,Canada,Canada
productionCountry,3220,Arktis,The Arctic regions
productionCountry,3300,Caribien,The Caribbean Islands
productionCountry,3310,"Antillerne, De hollandske & De små","The Antilles, The Dutch Islands & The Lesser Antilles"
productionCountry,3320,Bahamaøerne,The Bahamas
productionCountry,3330,Bermudaøerne,The Bermudas
productionCountry,3340,Cuba,Cuba
productionCountry,3350,"Dominikanske Republik, Den",The Dominican Republic
productionCountry,3360,Haiti,Haiti
productionCountry,3370,Jamaica,Jamaica
productionCountry,3380,Trinidad og Tobago,Trinidad and Tobago
productionCountry,3390,Grenada,Grenada
productionCountry,3400,Mellem-Amerika,Central America
productionCountry,3410,Mexico,Mexico
productionCountry,3420,Nicaragua,Nicaragua
productionCountry,3430,El  Salvador,El Salvador
productionCountry,3440,Costa Rica,Costa Rica
productionCountry,3450,Panama,Panama
productionCountry,3460,Honduras,Honduras
productionCountry,3470,Guatemala,Guatemala
productionCountry,3500,Sydamerika,South America
productionCountry,3510,Det Nordlige Sydamerika,Northern South America
productionCountry,3511,Colombia,Colombia
productionCountry,3512,Belize (Britisk Honduras),Belize (British Honduras)
productionCountry,3513,Brasilien,Brazil
productionCountry,3514,Equador,Ecuador
productionCountry,3515,Guyana,Guyana
productionCountry,3516,Venezuela,Venezuela
productionCountry,3520,Det Sydlige Sydamerika,Southern South America
productionCountry,3521,Argentina,Argentina
productionCountry,3522,Bolivia,Bolivia
productionCountry,3523,Chile,Chile
productionCountry,3524,Paraguay,Paraguay
productionCountry,3525,Peru,Peru
productionCountry,3526,Uruguay,Uruguay
productionCountry,4000,Afrika,Africa
productionCountry,4100,Nord-Afrika,North Africa
productionCountry,4110,Algeriet,Algeria
productionCountry,4120,Libyen,Libya
productionCountry,4130,Marokko,Morocco
productionCountry,4140,Sudan,The Sudan
productionCountry,4150,Tunesien,Tunisia
productionCountry,4160,Ægypten,Egypt
productionCountry,4200,Vest-Afrika,West Africa
productionCountry,4210,Vest-Afrika A-M,West Africa A-M
productionCountry,4211,Cameroun,Cameroon
productionCountry,4212,Gabon,Gabon
productionCountry,4213,Gambia,Gambia
productionCountry,4214,Ghana,Ghana
productionCountry,4215,Guinea,Guinea
productionCountry,4216,Guinea-Bissaau,Guinea-Bissau
productionCountry,4217,Kap Verde,Cape Verde
productionCountry,4218,Liberia,Liberia
productionCountry,4219,Mali,Mali
productionCountry,4220,Vest-Afrika M-Å,West Africa M-Z
productionCountry,4221,Maurethanien,Maurethania
productionCountry,4222,Nigeria,Nigeria
productionCountry,4223,Niger,Niger
productionCountry,4224,Senegal,Senegal
productionCountry,4225,Sierra Leone,Sierra Leone
productionCountry,4226,Tchad,Tchad
productionCountry,4227,Togo og Benin,Togo and Benin
productionCountry,4228,Vestsahara,West Sahara
productionCountry,4229,Øvre Volta - Burkino Faso,Upper Volta - Bourkino Faso
productionCountry,4300,Øst-Afrika,East Africa
productionCountry,4310,Djibouti,Djibouti
productionCountry,4320,Etiopien,Ethiopia
productionCountry,4330,Kenya,Kenya
productionCountry,4340,Madagaskar,Madagascar
productionCountry,4350,Malawi,Malawi
productionCountry,4360,Somalia,Somalia
productionCountry,4370,Tanzania,Tanzania
productionCountry,4380,Uganda,Uganda
productionCountry,4400,Syd-Afrika,South Africa
productionCountry,4410,Angola,Angola
productionCountry,4420,Lesotho,Lesotho
productionCountry,4430,Mocambique,Mozambique
productionCountry,4440,Namibia,Namibia
productionCountry,4450,Swaziland,Swaziland
productionCountry,4460,"Sydafrikanske Republik, Den",South Africa
productionCountry,4470,Zambia,Zambia
productionCountry,4480,Zimbabwe,Zimbabwe
productionCountry,4500,Central-Afrika,Central Africa
productionCountry,4510,Botswana,Botswana
productionCountry,4520,Burundi,Burundi
productionCountry,4530,Rwanda,Rwanda
productionCountry,4540,"Centralafrikanske Kejserdømme, Det",Central African Republic
productionCountry,4550,"Congo, Folkerepublikken",The Congo
productionCountry,4560,Zaire,Zaïre
productionCountry,5000,Asien,Asia
productionCountry,5100,Mellemøsten,The Middle East
productionCountry,5110,Mellemøsten A-K,The Middle East A-K
productionCountry,5111,"Arabiske Emirater, De",The United Arab Emirates
productionCountry,5112,Bahrain,Bahrain
productionCountry,5113,Cypern,Cyprus
productionCountry,5114,Irak,Iraq
productionCountry,5115,Iran,Iran
productionCountry,5116,Israel,Israel
productionCountry,5117,Jordan,Jordan
productionCountry,5118,Kuwait,Kuwait
productionCountry,5120,Mellemøsten L-Å,The Middle East L-Z
productionCountry,5121,Libanon,Lebanon
productionCountry,5122,Oman,Oman
productionCountry,5123,Qatar,Qatar
productionCountry,5124,Saudi Arabien,Saudi Arabia
productionCountry,5125,Syrien,Syria
productionCountry,5126,Tyrkiet,Turkey
productionCountry,5127,Yemen (Nordyemen),Yemen (Northern Yemen)
productionCountry,5128,Yemen (Sydyemen),Yemen (Southern Yemen)
productionCountry,5200,Central-Asien,Central Asia
productionCountry,5210,Azerbaidjan,Azerbaidjan
productionCountry,5220,Armenien,Armenia
productionCountry,5230,Georgien,Georgia
productionCountry,5240,Turkmenistan,Turkmenistan
productionCountry,5250,Tadjikistan,Tadjikistan
productionCountry,5260,Kazakhstan,Kazakhstan
productionCountry,5270,Uzbekistan,Uzbekistan
productionCountry,5280,Kirgisistan,Kirgisistan
productionCountry,5300,Syd-Asien,South Asia
productionCountry,5310,Afghanistan,Afghanistan
productionCountry,5320,Bangla Desh,Bangladesh
productionCountry,5330,Bhutan,Bhutan
productionCountry,5340,Indien,India
productionCountry,5350,Maldiverne,The Maldive Islands
productionCountry,5360,Pakistan,Pakistan
productionCountry,5400,Øst-Asien,East Asia
productionCountry,5410,Hongkong,Hongkong
productionCountry,5420,Japan,Japan
productionCountry,5430,Kina,China
productionCountry,5440,Korea (Nordkorea),Korea (North Korea)
productionCountry,5450,Korea (Sydkorea),Korea (South Korea)
productionCountry,5460,Macao,Macao
productionCountry,5470,"Mongolske Folkerepublik, Den",The Mongolian People's Republic
productionCountry,5480,Singapore,Singapore
productionCountry,5490,Taiwan (Formosa),Taiwan (Formosa)
productionCountry,5500,Sydøst-Asien,South East Asia
productionCountry,5510,Sydøst-Asien A-M,South East Asia A-M
productionCountry,5511,Burma,Burma
productionCountry,5512,Indonesien,Indonesia
productionCountry,5513,Kampuchea,Kampuchea
productionCountry,5514,Laos,Laos
productionCountry,5515,Malaysia,Malaysia
productionCountry,5520,Sydøst-Asien N-Å,South East Asia N-Z
productionCountry,5521,Nepal,Nepal
productionCountry,5522,Philippinerne,The Philippines
productionCountry,5523,Sri Lanka,Sri Lanka
productionCountry,5524,Thailand,Thailand
productionCountry,5525,Vietnam,Vietnam
productionCountry,6000,Austalien & Oceanien,Australia & Oceania
productionCountry,6100,Australien,Australia
productionCountry,6200,Mikronesien,Micronesia
productionCountry,6300,New Guinea,New Guinea
productionCountry,6400,New Zealand,New Zealand
productionCountry,6500,Polynesien,Polynesia
productionCountry,6600,Antarktis,The Antarctic
productionCountry,7000,Grupper af lande,Groups of countries
productionCountry,7100,EU-lande,EU countries
productionCountry,7200,SNG-lande,SNG countries
productionCountry,7300,Industrialiserede-lande,Industrialized countries
productionCountry,7400,Udviklings-lande,Developing countries
productionCountry,8000,Ikke geografisk bestemt,No geographic location
productionCountry,9000,Ikke placerbart på verdensdele,Not placable on continents
intent,1000,.. er at informere,The purpose is to inform
intent,2000,.. er at skabe debat,The purpose is to create debate
intent,3000,.. er at underholde,The purpose is to entertain
intent,4000,.. er at give oplevelser,The purpose is to provide experience(s)
intent,5000,.. er at forkynde tro,The purpose is to preach faith
intent,6000,.. er at undervise,The purpose is to educate
intent,7000,Andet,Other
productionTimeAndPlace,1000,Fra TV-studie m/publikum,From a Television studio with present audience
productionTimeAndPlace,1100,Direkte,Live
productionTimeAndPlace,1200,Forskudt/redigeret,Taped/edited
productionTimeAndPlace,2000,Fra TV-studie u/publikum,From a Television studio without present audience
productionTimeAndPlace,2100,Direkte,Live
productionTimeAndPlace,2200,Forskudt/redigeret,Taped/edited
productionTimeAndPlace,3000,Transmission udefra/OB,Non-studio broadcast
productionTimeAndPlace,3100,Direkte,Live
productionTimeAndPlace,3200,Forskudt,Taped
productionTimeAndPlace,4000,Redigeret udsendelse udefra/ENG/EFP,Edited non-studio broadcast
productionTimeAndPlace,5000,Ikke TV-produktion(spillefilm m.v.),Not Television production (feature film and the like)
productionTimeAndPlace,6000,Blandet studie/EFP,Mixed studio/EFP
targetGroupProductionYear,1000,1000,1000
targetGroupProductionYear,1900,1900,1900
targetGroupProductionYear,1901,1901,1901
targetGroupProductionYear,1902,1902,1902
targetGroupProductionYear,1903,1903,1903
targetGroupProductionYear,1904,1904,1904
targetGroupProductionYear,1905,1905,1905
targetGroupProductionYear,1906,1906,1906
targetGroupProductionYear,1907,1907,1907
targetGroupProductionYear,1908,1908,1908
targetGroupProductionYear,1909,1909,1909
targetGroupProductionYear,1910,1910,1910
targetGroupProductionYear,1911,1911,1911
targetGroupProductionYear,1912,1912,1912
targetGroupProductionYear,1913,1913,1913
targetGroupProductionYear,1914,1914,1914
targetGroupProductionYear,1915,1915,1915
targetGroupProductionYear,1916,1916,1916
targetGroupProductionYear,1917,1917,1917
targetGroupProductionYear,1918,1918,1918
targetGroupProductionYear,1919,1919,1919
targetGroupProductionYear,1920,1920,1920
targetGroupProductionYear,1921,1921,1921
targetGroupProductionYear,1922,1922,1922
targetGroupProductionYear,1923,1923,1923
targetGroupProductionYear,1924,1924,1924
targetGroupProductionYear,1925,1925,1925
targetGroupProductionYear,1926,1926,1926
targetGroupProductionYear,1927,1927,1927
targetGroupProductionYear,1928,1928,1928
targetGroupProductionYear,1929,1929,1929
targetGroupProductionYear,1930,1930,1930
targetGroupProductionYear,1931,1931,1931
targetGroupProductionYear,1932,1932,1932
targetGroupProductionYear,1933,1933,1933
targetGroupProductionYear,1934,1934,1934
targetGroupProductionYear,1935,1935,1935
targetGroupProductionYear,1936,1936,1936
targetGroupProductionYear,1937,1937,1937
targetGroupProductionYear,1938,1938,1938
targetGroupProductionYear,1939,1939,1939
targetGroupProductionYear,1940,1940,1940
targetGroupProductionYear,1941,1941,1941
targetGroupProductionYear,1942,1942,1942
targetGroupProductionYear,1943,1943,1943
targetGroupProductionYear,1944,1944,1944
targetGroupProductionYear,1945,1945,1945
targetGroupProductionYear,1946,1946,1946
targetGroupProductionYear,1947,1947,1947
targetGroupProductionYear,1948,1948,1948
targetGroupProductionYear,1949,1949,1949
targetGroupProductionYear,1950,1950,1950
targetGroupProductionYear,1951,1951,1951
targetGroupProductionYear,1952,1952,1952
targetGroupProductionYear,1953,1953,1953
targetGroupProductionYear,1954,1954,1954
targetGroupProductionYear,1955,1955,1955
targetGroupProductionYear,1956,1956,1956
targetGroupProductionYear,1957,1957,1957
targetGroupProductionYear,1958,1958,1958
targetGroupProductionYear,1959,1959,1959
targetGroupProductionYear,1960,1960,1960
targetGroupProductionYear,1961,1961,1961
targetGroupProductionYear,1962,1962,1962
targetGroupProductionYear,1963,1963,1963
targetGroupProductionYear,1964,1964,1964
targetGroupProductionYear,1965,1965,1965
targetGroupProductionYear,1966,1966,1966
targetGroupProductionYear,1967,1967,1967
targetGroupProductionYear,1968,1968,1968
targetGroupProductionYear,1969,1969,1969
targetGroupProductionYear,1970,1970,1970
targetGroupProductionYear,1971,1971,1971
targetGroupProductionYear,1972,1972,1972
targetGroupProductionYear,1973,1973,1973
targetGroupProductionYear,1974,1974,1974
targetGroupProductionYear,1975,1975,1975
targetGroupProductionYear,1976,1976,1976
targetGroupProductionYear,1977,1977,1977
targetGroupProductionYear,1978,1978,1978
targetGroupProductionYear,1979,1979,1979
targetGroupProductionYear,1980,1980,1980
targetGroupProductionYear,1981,1981,1981
targetGroupProductionYear,1982,1982,1982
targetGroupProductionYear,1983,1983,1983
targetGroupProductionYear,1984,1984,1984
targetGroupProductionYear,1985,1985,1985
targetGroupProductionYear,1986,1986,1986
targetGroupProductionYear,1987,1987,1987
targetGroupProductionYear,1988,1988,1988
targetGroupProductionYear,1989,1989,1989
targetGroupProductionYear,1990,1990,1990
targetGroupProductionYear,1991,1991,1991
targetGroupProductionYear,1992,1992,1992
targetGroupProductionYear,1993,1993,1993
targetGroupProductionYear,1994,1994,1994
targetGroupProductionYear,1995,1995,1995
targetGroupProductionYear,1996,1996,1996
targetGroupProductionYear,1997,1997,1997
targetGroupProductionYear,1998,1998,1998
targetGroupProductionYear,1999,1999,1999
targetGroupProductionYear,2000,2000,2000
targetGroupProductionYear,2001,2001,2001
targetGroupProductionYear,2002,2002,2002
targetGroupProductionYear,2003,2003,2003
targetGroupProductionYear,2004,2004,2004
targetGroupProductionYear,2005,2005,2005
targetGroupProductionYear,2006,2006,2006
targetGroupProductionYear,2007,2007,2007
targetGroupProductionYear,2008,2008,2008
targetGroupProductionYear,2009,2009,2009
targetGroupProductionYear,2010,2010,2010
targetGroupProductionYear,2011,2011,2011
